date,mise_stars,asdf_stars,hk_stars,just_stars
2019-06-02,0,4849,0,926
2019-06-03,0,4852,0,931
2019-06-04,0,4858,0,933
2019-06-05,0,4866,0,30048
2019-06-06,0,4872,0,937
2019-06-07,0,4876,0,939
2019-06-08,0,4878,0,940
2019-06-09,0,4878,0,941
2019-06-10,0,4880,0,944
2019-06-11,0,4886,0,30048
2019-06-12,0,4896,0,945
2019-06-13,0,4904,0,947
2019-06-14,0,4911,0,952
2019-06-15,0,4912,0,30048
2019-06-16,0,4915,0,30048
2019-06-17,0,4920,0,954
2019-06-18,0,4922,0,955
2019-06-19,0,4929,0,956
2019-06-20,0,4930,0,959
2019-06-21,0,4934,0,961
2019-06-22,0,4938,0,963
2019-06-23,0,4939,0,965
2019-06-24,0,4950,0,966
2019-06-25,0,4955,0,967
2019-06-26,0,4962,0,968
2019-06-27,0,4965,0,971
2019-06-28,0,4970,0,30048
2019-06-29,0,4974,0,30048
2019-06-30,0,4979,0,973
2019-07-01,0,4986,0,974
2019-07-02,0,4991,0,975
2019-07-03,0,5003,0,977
2019-07-04,0,5010,0,30048
2019-07-05,0,5011,0,30048
2019-07-06,0,5015,0,30048
2019-07-07,0,5017,0,980
2019-07-08,0,5023,0,981
2019-07-09,0,5030,0,983
2019-07-10,0,5035,0,989
2019-07-11,0,5038,0,30048
2019-07-12,0,5049,0,992
2019-07-13,0,5065,0,30048
2019-07-14,0,5077,0,993
2019-07-15,0,5103,0,30048
2019-07-16,0,5111,0,996
2019-07-17,0,5125,0,999
2019-07-18,0,5130,0,1000
2019-07-19,0,5136,0,1002
2019-07-20,0,5139,0,1004
2019-07-21,0,5140,0,1005
2019-07-22,0,5150,0,30048
2019-07-23,0,5161,0,1006
2019-07-24,0,5164,0,1008
2019-07-25,0,5174,0,30048
2019-07-26,0,5182,0,1011
2019-07-27,0,5186,0,1013
2019-07-28,0,5191,0,30048
2019-07-29,0,5196,0,30048
2019-07-30,0,5202,0,30048
2019-07-31,0,5214,0,30048
2019-08-01,0,5219,0,30048
2019-08-02,0,5223,0,1014
2019-08-03,0,5228,0,1015
2019-08-04,0,5234,0,30048
2019-08-05,0,5239,0,30048
2019-08-06,0,5240,0,1016
2019-08-07,0,5248,0,1017
2019-08-08,0,5252,0,30048
2019-08-09,0,5259,0,1019
2019-08-10,0,5266,0,1020
2019-08-11,0,5272,0,1023
2019-08-12,0,5278,0,1024
2019-08-13,0,5285,0,30048
2019-08-14,0,5291,0,1027
2019-08-15,0,5293,0,1028
2019-08-16,0,5295,0,1030
2019-08-17,0,5302,0,30048
2019-08-18,0,5304,0,30048
2019-08-19,0,5311,0,1031
2019-08-20,0,5320,0,1033
2019-08-21,0,5323,0,1037
2019-08-22,0,5326,0,30048
2019-08-23,0,5330,0,1038
2019-08-24,0,5338,0,1039
2019-08-25,0,5338,0,30048
2019-08-26,0,5348,0,1040
2019-08-27,0,5356,0,30048
2019-08-28,0,5364,0,30048
2019-08-29,0,5377,0,1043
2019-08-30,0,5381,0,1044
2019-08-31,0,5383,0,1046
2019-09-01,0,5390,0,30048
2019-09-02,0,5395,0,1049
2019-09-03,0,5404,0,1058
2019-09-04,0,5413,0,1065
2019-09-05,0,5420,0,1069
2019-09-06,0,5426,0,1070
2019-09-07,0,5431,0,30048
2019-09-08,0,5435,0,1071
2019-09-09,0,5438,0,30048
2019-09-10,0,5444,0,30048
2019-09-11,0,5450,0,1073
2019-09-12,0,5456,0,30048
2019-09-13,0,5460,0,1074
2019-09-14,0,5461,0,1075
2019-09-15,0,5464,0,1076
2019-09-16,0,5469,0,1078
2019-09-17,0,5472,0,1079
2019-09-18,0,5477,0,1081
2019-09-19,0,5485,0,1085
2019-09-20,0,5491,0,30048
2019-09-21,0,5494,0,1086
2019-09-22,0,5496,0,1087
2019-09-23,0,5505,0,30048
2019-09-24,0,5516,0,30048
2019-09-25,0,5523,0,1089
2019-09-26,0,5531,0,1093
2019-09-27,0,5539,0,30048
2019-09-28,0,5543,0,1096
2019-09-29,0,5544,0,30048
2019-09-30,0,5546,0,1098
2019-10-01,0,5554,0,1100
2019-10-02,0,5563,0,30048
2019-10-03,0,5569,0,1101
2019-10-04,0,5578,0,30048
2019-10-05,0,5582,0,1103
2019-10-06,0,5586,0,1105
2019-10-07,0,5587,0,1107
2019-10-08,0,5591,0,1112
2019-10-09,0,5594,0,1114
2019-10-10,0,5604,0,1116
2019-10-11,0,5610,0,1118
2019-10-12,0,5613,0,30048
2019-10-13,0,5619,0,1119
2019-10-14,0,5623,0,1121
2019-10-15,0,5630,0,30048
2019-10-16,0,5634,0,30048
2019-10-17,0,5636,0,1123
